@id	@type	type	route	name	description	from	to	ref	detour	status	Länge Teilstücke
4074361	relation	route	detour	U 4 (A 96)				U 4	A 96	zusammenhängend	10,012
4074362	relation	route	detour	U 6 (A 96)				U 6	A 96	zusammenhängend	9,476
4074363	relation	route	detour	U 8 (A 96)				U 8	A 96	zusammenhängend	4,626
4075864	relation	route	detour					U 41a	A 5	zusammenhängend	4,156
4103994	relation	route	detour	U 21 (A 96)				U 21	A 96	zusammenhängend	16,432
4104090	relation	route	detour	U 16 (A 7)				U 16	A 7	zusammenhängend	8,310
4104153	relation	route	detour	U 50 (A 96)				U 50	A 96	zusammenhängend	6,470
4114121	relation	route	detour	U 91 (A 7)				U 91	A 7	zusammenhängend	0,310
4200982	relation	route	detour					U 18a	A 5	zusammenhängend	3,502
4260678	relation	route	detour	U 12 (A 7)				U 12	A 7	zusammenhängend	26,449
4260679	relation	route	detour	U 14 (A 7)				U 14	A 7	zusammenhängend	22,866
4260680	relation	route	detour	U 16 (A 7)				U 16	A 7	zusammenhängend	16,507
5189242	relation	route	detour	U 33 (A 5)				U 33	A 5	zusammenhängend	8,530
5189243	relation	route	detour					U 33a	A 5	zusammenhängend	14,887
5196235	relation	route	detour					U 22a	A 5	zusammenhängend	9,071
5196236	relation	route	detour	U 24 (A 5)				U 24	A 5	zusammenhängend	13,992
5196600	relation	route	detour					U 39	A 5	zusammenhängend	9,710
5281825	relation	route	detour					U 53	A 5	zusammenhängend	11,078
5282368	relation	route	detour					U 76	A 6	zusammenhängend	11,302
5323274	relation	route	detour					U 36	A 5	zusammenhängend	7,234
5323275	relation	route	detour					U 36a	A 5	zusammenhängend	5,531
5323276	relation	route	detour					U 38	A 5	zusammenhängend	22,011
5323277	relation	route	detour					U 40	A 5	zusammenhängend	8,056
5323278	relation	route	detour					U 44	A 5	zusammenhängend	10,730
5323279	relation	route	detour					U 64	A 5	zusammenhängend	11,818
5392903	relation	route	detour					U 19	A 5	zusammenhängend	5,091
5392904	relation	route	detour	U 32 (A 5)				U 32	A 5	zusammenhängend	26,300
5392905	relation	route	detour					U 46	A 5	zusammenhängend	17,896
5392906	relation	route	detour					U 48	A 5	zusammenhängend	22,718
5392907	relation	route	detour					U 48a	A 5	nicht zusammenhängend	20,063	0,141	0,273	0,279
5392908	relation	route	detour					U 5	A 98	zusammenhängend	0,321
5392909	relation	route	detour					U 50	A 5	nicht zusammenhängend	0,344	0,273	0,141	23,069
5392910	relation	route	detour					U 52	A 5	zusammenhängend	11,168
5392911	relation	route	detour					U 54	A 5	zusammenhängend	7,495
5392912	relation	route	detour					U 65	A 5	zusammenhängend	11,705
5392913	relation	route	detour					U 7	A 98	zusammenhängend	0,307
5572716	relation	route	detour					U 74	A 6	zusammenhängend	8,086
5815232	relation	route	detour	U 1 (A 8)				U 1	A 8	nicht zusammenhängend	8,501	2,392
5815233	relation	route	detour					U 39	A 5	zusammenhängend	6,698
6464634	relation	route	detour					U 14	A 5	zusammenhängend	35,220
6491122	relation	route	detour	U 8 (A 7)				U 8	A 7	zusammenhängend	43,170
6794981	relation	route	detour	U 38 (A 3)				U 38	A 3	zusammenhängend	19,285
6808554	relation	route	detour	U 10 (A7)				U 10	A7	zusammenhängend	12,722
6882883	relation	route	detour					U 34	A 98	zusammenhängend	22,626
6969609	relation	route	detour	U 13 (A 96)				U 13	A 96	zusammenhängend	10,950
7496645	relation	route	detour	U 20 (A7)				U 20	A 7	zusammenhängend	13,353
7496646	relation	route	detour	U 18 (A7)				U 18	A 7	zusammenhängend	6,965
8141049	relation	route	detour					U 1	A 861	zusammenhängend	4,105
8298576	relation	route	detour	U 15 (A 81)				U 15	A 81	zusammenhängend	6,221
8371662	relation	route	detour	U 67 (A 6)				U 67	A 6	zusammenhängend	5,540
8438869	relation	route	detour	U 73 (A 6)				U 73	A 6	zusammenhängend	24,218
10506654	relation	route	detour	U 73 (A 61)				U 73	A 61	zusammenhängend	20,111
11002829	relation	route	detour	U 12 (A 7)				U 12	A 7	zusammenhängend	9,726
11164978	relation	route	detour	U 19 (A 8)				U 19	A 8	zusammenhängend	6,695
Datum der Auswertung:	 	2020-07-05 08:44:55.819440
Auswertung dank	 https://www.grundid.de/ 	und 	http://ra.osmsurround.org/index
